1,2,3,4,5,6,7,8,9,10
633.6499999961234, 607.2950000016135, 604.2699999961769, 609.5349999959581, 608.7100000004284, 607.2600000043167, 611.0650000046007, 607.9250000038883, 617.4250000040047, 614.0599999998813
631.8749999991269, 606.5200000011828, 601.8499999991036, 602.4249999973108, 607.4999999982538, 612.6599999988684, 607.3749999995925, 604.9050000001444, 606.4449999976205, 612.6250000015716
626.4749999972992, 606.5449999951525, 608.1150000027847, 608.1399999966379, 608.5949999978766, 607.2050000001909, 609.2099999950733, 614.1700000007404, 605.6899999966845, 606.5149999994319
629.8999999999069, 611.3399999957765, 614.000000001397, 608.4300000001676, 606.930000001681, 606.5050000033807, 611.5999999966007, 607.1499999961816, 603.6200000017416, 604.6000000060303
621.4850000032457, 609.7750000043306, 611.8549999955576, 609.8899999996647, 606.8249999952968, 610.6399999989662, 606.4600000027567, 612.6399999994319, 627.6100000031292, 629.6799999980722
621.9700000000885, 608.2249999963678, 610.740000003716, 611.5500000014435, 608.0650000004098, 605.8750000010477, 604.6850000057602, 609.8350000029895, 611.2199999988079, 623.9649999989197
619.0249999999069, 608.9949999949895, 606.6700000010896, 605.9299999979557, 604.8549999977695, 612.8200000020443, 613.5199999989709, 608.6699999941047, 606.0199999992037, 611.8599999973085
624.8099999937695, 612.4950000012759, 611.9749999997439, 611.3649999969639, 618.6049999960233, 614.6000000007916, 620.1199999996461, 627.7449999978999, 617.214999998454, 614.0999999988126
631.3050000027288, 624.9699999971781, 633.6700000028359, 626.5349999958416, 622.8950000004843, 619.5799999986775, 622.3800000008196, 625.2349999995204, 624.7099999963539, 632.9899999982445
612.6900000016904, 604.8950000039767, 605.6499999975786, 608.174999993993, 604.3300000019372, 610.7049999991432, 613.8399999982212, 611.0699999990175, 607.0999999938067, 605.6549999993294